Name,Price,Reviews,Size,Category,Rating
"Solaray, Vitamin D3 + K2, Soy Free, 120 VegCaps",29.07,8603.0,,supplements,4.9
"ChildLife, Vitamin D3, Natural Berry Flavor, 1 fl oz (30 ml)",9.93,28051.0,,supplements,4.8
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)",17.54,37409.0,227.0,supplements,4.9
"Solgar, Zinc Picolinate, 100 Tablets",13.25,11334.0,,supplements,4.8
"Solgar, Omega-3, EPA & DHA, Triple Strength, 950 mg, 100 Softgels",50.01,22527.0,0.95,supplements,4.8
"California Gold Nutrition, Immune 4, Immune System Support, 180 Veggie Capsules",23.41,72710.0,,supplements,4.8
"California Gold Nutrition, Children's Liquid Gold Vitamin C, USP Grade, Tart Orange Flavor, 4 fl oz (118 ml)",10.92,10893.0,,supplements,4.9
"Now Foods, Iron, Double Strength, 36 mg, 90 Veg Capsules",13.89,12158.0,0.036,supplements,4.8
"Life Extension, BioActive Complete B-Complex, 60 Vegetarian Capsules",14.05,19733.0,,supplements,4.8
"Solaray, Monolaurin, 500 mg, 60 VegCaps",14.86,12407.0,0.5,supplements,4.9
"KAL, Magnesium Glycinate 400, 400 mg, 180 Tablets",37.44,18972.0,0.4,supplements,4.8
"21st Century, Vitamin C, 1,000 mg, 60 Tablets",4.68,9337.0,0.0,supplements,4.7
"YumEarth, Organic Pops, Vitamin C, Strawberry Smash, Razzmatazz Berry, Very Very Cherry, 14 Pops, 3 oz (85 g)",4.3,15000.0,85.0,supplements,4.9
"ChildLife, Essentials, Echinacea, Natural Orange Flavor, 1 fl oz (30 ml)",11.17,32162.0,,supplements,4.8
"California Gold Nutrition, Vitamin C Gummies, Natural Orange Flavor, Gelatin Free, 90 Gummies",9.84,29540.0,,supplements,4.8
"Life Extension, Zinc Caps, High Potency, 50 mg, 90 Vegetarian Capsules",10.53,10763.0,0.05,supplements,4.8
"Now Foods, L-Cysteine, 500 mg, 100 Tablets",14.07,7450.0,0.5,supplements,4.3
"Doctor's Best, Lutein with OptiLut, 20 mg, 120 Veggie Caps",20.98,8207.0,0.02,supplements,4.5
"Life Extension, Magnesium Caps, 500 mg, 100 Vegetarian Capsules",14.05,8140.0,0.5,supplements,4.7
"21st Century, Vitamin C, 1,000 mg, 60 Tablets",4.68,9337.0,0.0,supplements,4.7
"Solaray, Timed Release Vitamin C, 1,000 mg, 100 Tablets",13.48,7210.0,0.0,supplements,4.7
"Solgar, Omega-3, EPA & DHA, Triple Strength, 950 mg, 100 Softgels",50.01,22527.0,0.95,supplements,4.8
"Now Foods, Vitamin D-3 & K-2, 120 Veg Capsules",12.04,13273.0,,supplements,4.8
"Now Foods, Omega-3, Molecularly Distilled, 30 Softgels",3.68,5480.0,,supplements,4.8
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.93,5169.0,0.0,supplements,4.6
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.56,1839.0,8.5,supplements,4.5
"California Gold Nutrition, Baby Vitamin D3 Liquid, 10 mcg (400 IU), 0.34 fl oz (10 ml)",8.74,55969.0,,supplements,4.9
"Now Foods, Quercetin with Bromelain, 120 Veg Capsules",29.64,7334.0,,supplements,4.7
"Life Extension, Zinc Caps, High Potency, 50 mg, 90 Vegetarian Capsules",10.53,10763.0,0.05,supplements,4.8
"iHerb Goods, iHerb Blender Bottle with Blender Ball, Green, 28 oz",4.69,19528.0,,supplements,4.7
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.85,21240.0,0.12,supplements,4.7
"Now Foods, Zinc Picolinate, 50 mg, 120 Veg Capsules",13.89,8651.0,0.05,supplements,4.8
"Now Foods, Glutathione, 500 mg, 60 Veg Capsules",40.76,5128.0,0.5,supplements,4.5
"Now Foods, Vitamin D-3, High Potency, 1,000 IU, 180 Softgels",8.33,24797.0,,supplements,4.9
"21st Century, Vitamin C, 250 mg, 110 Tablets",4.07,4065.0,0.25,supplements,4.7
"Now Foods, Magnesium Citrate, 120 Veg Capsules",15.75,15569.0,,supplements,4.8
"De La Cruz, Castor Oil, 2 fl oz (59 ml)",3.12,468.0,,supplements,4.7
"21st Century, Potassium Gluconate, 595 mg, 110 Tablets",3.46,3634.0,0.595,supplements,4.5
"Gummiology, Adult Multivitamin Gummies, Natural Raspberry Flavor, 100 Vegetarian Gummies",12.49,2457.0,,supplements,4.4
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 240 Veggie Caps",41.11,23636.0,,supplements,4.7
"Now Foods, Melatonin, 3 mg, 60 Veg Capsules",5.54,15709.0,0.003,supplements,4.5
"21st Century, Biotin, 10,000 mcg, 120 Tablets",10.43,7592.0,,supplements,4.6
"Now Foods, Biotin, 5,000 mcg, 120 Veg Capsules",13.32,20226.0,,supplements,4.7
"Doctor's Best, Lutein with Lutemax 2020, 20 mg, 180 Softgels",48.1,5409.0,0.02,supplements,4.6
"Now Foods, Niacin, Flush-Free, Double Strength, 500 mg, 180 Veg Capsules",37.06,839.0,0.5,supplements,4.6
"Now Foods, Double Strength Silymarin, 300 mg, 200 Veg Capsules",29.89,17239.0,0.3,supplements,4.7
"Now Foods, L-Tyrosine, 500 mg, 120 Capsules",14.81,7888.0,0.5,supplements,4.7
"Now Foods, Niacinamide, 500 mg, 100 Veg Capsules",9.25,1367.0,0.5,supplements,4.6
"SunLipid, Liposomal Vitamin C, Naturally Flavored, 30 Packets, 0.17 oz (5.0 ml) Each",37.46,5063.0,,supplements,4.3
"Now Foods, Sunflower Lecithin, 1,200 mg, 200 Softgels",18.52,25791.0,0.2,supplements,4.9
"Now Foods, Chlorophyll, 100 mg, 90 Veg Capsules",14.81,6584.0,0.1,supplements,4.7
"California Gold Nutrition, Kid’s Multi Vitamin Gummies, No Gelatin, Mixed Berry and Fruit Flavor, 60 Gummies",12.49,6106.0,,supplements,4.8
"21st Century, Slow Release Iron, 60 Tablets",4.64,863.0,,supplements,4.6
"Now Foods, NAC, 600 mg, 250 Veg Capsules",29.64,8317.0,0.6,supplements,4.8
"Now Foods, EGCg, Green Tea Extract, 400 mg, 90 Veg Capsules",13.89,6226.0,0.4,supplements,4.6
"Now Foods, Selenium, 100 mcg, 250 Tablets",12.95,9145.0,,supplements,4.8
"Natrol, Melatonin, Time Release, Extra Strength, 5 mg, 100 Tablets",14.03,7249.0,0.005,supplements,4.5
"Now Foods, Magnesium Caps, 400 mg, 180 Veg Capsules",17.6,5550.0,0.4,supplements,4.7
"Nature's Plus, Hema-Plex, 30 Sustained Release Tablets",14.5,21220.0,,supplements,4.9
"Now Foods, B-50, 250 Veg Capsules",33.35,7099.0,,supplements,4.7
"Now Foods, Folic Acid, 800 mcg, 250 Tablets",7.39,11308.0,,supplements,4.8
"Macrolife Naturals, Macro Greens, Superfood, 0.3 oz (9.4 g)",3.12,1132.0,9.4,supplements,4.4
"California Gold Nutrition, Ferrochel Iron (Bisglycinate), 36 mg, 90 Veggie Capsules",10.92,6828.0,0.036,supplements,4.7
"21st Century, Vitamin D3, 10 mcg (400 IU), 100 Tablets",3.46,836.0,,supplements,4.7
"Youtheory, Collagen, 6,000 mg, 290 Tablets",28.7,9229.0,0.0,supplements,4.6
"MRM, Nutrition, Acetyl L-Carnitine, 60 Vegan Capsules",10.96,7120.0,,supplements,4.7
"Life Extension, Vitamins D and K with Sea-Iodine, 60 Capsules",28.09,7378.0,,supplements,4.8
"Now Foods, Double Strength Silymarin, 300 mg, 200 Veg Capsules",29.89,17239.0,0.3,supplements,4.7
"Now Foods, Zinc Glycinate, 120 Softgels",13.89,8204.0,,supplements,4.8
"Garden of Life, Dr. Formulated Probiotics, Once Daily Women's, 50 Billion, 30 Vegetarian Capsules",48.17,6125.0,,supplements,4.6
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.56,1839.0,8.5,supplements,4.5
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.85,21240.0,0.12,supplements,4.7
"Now Foods, Chewable Vitamin D-3, Natural Fruit Flavor, 1,000 IU, 180 Chewables",11.1,5820.0,,supplements,4.9
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",6.58,5485.0,0.05,supplements,4.8
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 240 Veggie Caps",41.11,23636.0,,supplements,4.7
"NutriBiotic, Vegan GSE Grapefruit Seed Extract, Liquid Concentrate, 2 fl oz (59 ml)",18.71,22728.0,,supplements,4.9
"Now Foods, Inositol Capsules, 500 mg, 100 Veg Capsules",9.25,8278.0,0.5,supplements,4.7
"California Gold Nutrition, Vitamin D3 Gummies, No Gelatin, No Gluten, Mixed Berry & Fruit Flavors, 25 mcg (1,000 IU), 90 Gummies",9.84,6199.0,,supplements,4.8
"Now Foods, Chlorophyll, 100 mg, 90 Veg Capsules",14.81,6584.0,0.1,supplements,4.7
"21st Century, Acidophilus Probiotic Blend, 150 Capsules",11.6,14144.0,,supplements,4.6
"Now Foods, Folic Acid, 800 mcg, 250 Tablets",7.39,11308.0,,supplements,4.8
"MRM, Nutrition, Quercetin, 60 Vegan Capsules",18.71,1903.0,,supplements,4.7
"Neocell, Super Collagen + C, Collagen Type 1 & 3, 360 Tablets",39.5,19643.0,,supplements,4.5
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",93.62,19014.0,2270.0,supplements,4.6
"21st Century, Biotin, 800 mcg, 110 Easy Swallow Tablets",3.46,6559.0,,supplements,4.6
"iHerb Goods, iHerb Blender Bottle with Blender Ball, Green, 28 oz",4.69,19528.0,,supplements,4.7
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.04,9878.0,0.5,supplements,4.6
"KAL, Magnesium Glycinate 400, 200 mg, 90 Tablets",23.39,18972.0,0.2,supplements,4.8
"Nature's Bounty, Optimal Solutions, Hair, Skin & Nails, Strawberry, 1,250 mcg, 80 Gummies",12.33,8342.0,,supplements,4.5
"Jarrow Formulas, Women's Fem Dophilus, 60 Veggie Caps",45.84,4357.0,,supplements,4.5
"Now Foods, C-1000, 100 Tablets",12.04,10916.0,,supplements,4.7
"21st Century, Vitamin E, 180 mg (400 IU), 110 Softgels",8.08,5521.0,0.18,supplements,4.7
"Solaray, Niacinamide, 500 mg, 100 VegCaps",8.08,886.0,0.5,supplements,4.7
"Now Foods, Hyaluronic Acid, 50 mg, 60 Veg Capsules",14.81,12011.0,0.05,supplements,4.5
"Natural Factors, Zinc Chelate, 25 mg, 90 Tablets",5.84,10464.0,0.025,supplements,4.8
"Now Foods, Kelp, 150 mcg, 200 Tablets",11.1,7907.0,,supplements,4.8
"Now Foods, Potassium Chloride Powder, 8 oz  (227 g)",8.33,685.0,227.0,supplements,4.6
"Garden of Life, Dr. Formulated Probiotics, Once Daily Women's, 50 Billion, 30 Vegetarian Capsules",48.17,6125.0,,supplements,4.6
"Now Foods, Sun-E 400, 120 Softgels",33.35,224.0,,supplements,4.7
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.22,14413.0,454.0,supplements,4.8
"Nature's Way, Alive! Men's 50+ Ultra Potency Complete Multivitamin, 60 Tablets",26.3,3306.0,,supplements,4.6
"Nature's Bounty, Women's Multi 50+, Complete Multivitamin, 80 Tablets",16.01,172.0,,supplements,4.7
"Mariani Dried Fruit, Premium Probiotic Apricots, 6 oz (170 g)",3.92,471.0,170.0,supplements,4.7
"ChildLife, Liquid Calcium with Magnesium, Natural Orange Flavor, 16 fl oz (474 ml)",24.91,24760.0,,supplements,4.8
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.04,9878.0,0.5,supplements,4.6
"21st Century, Calcium Supplement 600, 75 Tablets",3.46,653.0,,supplements,4.6
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.97,4711.0,454.0,supplements,4.6
"21st Century, Vitamin A, 3,000 mcg (10,000 IU), 110 Softgels",4.64,2204.0,,supplements,4.7
"California Gold Nutrition, SUPERBA2 Premium Krill Oil, 1000 mg, 60 Softgels",43.7,642.0,1.0,supplements,4.7
"Now Foods, Niacin, 500 mg, 250 Tablets",18.52,1019.0,0.5,supplements,4.4
"Nutiva, Organic Coconut Oil, Buttery Flavor, 14 fl oz (414 ml)",9.46,10105.0,,supplements,4.7
"21st Century, B-12, 500 mcg, 110 Tablets",5.81,1627.0,,supplements,4.7
"ChildLife, Liquid Calcium with Magnesium, Natural Orange Flavor, 16 fl oz (474 ml)",24.91,24760.0,,supplements,4.8
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.1,12271.0,0.1,supplements,4.7
"California Gold Nutrition, CoQ10, 100 mg, 30 Veggie Softgels",7.8,14800.0,0.1,supplements,4.6
"California Gold Nutrition, Organic Extra Virgin Coconut Oil, Unrefined, Cold-Pressed, 16 fl oz (473 ml)",11.35,42279.0,,supplements,4.8
"Dr. Mercola, Liposomal Vitamin C, 1,000 mg, 60 Capsules",25.49,6510.0,0.0,supplements,4.7
"Now Foods, C-1000, 100 Tablets",12.04,10916.0,,supplements,4.7
"Nature's Way, Zinc Chelate, 30 mg, 100 Capsules",8.08,7524.0,0.03,supplements,4.8
"MRM, Vegan Vitamin D3 & K2, 60 Vegan Capsules",14.03,5496.0,,supplements,4.8
"Natural Factors, BlueRich, Super Strength, Blueberry Concentrate, 500 mg, 90 Softgels",13.15,6154.0,0.5,supplements,4.6
"Now Foods, 5-HTP, 100 mg, 120 Veg Capsules",26.67,12012.0,0.1,supplements,4.6
"Now Foods, Magnesium & Calcium, 100 Tablets",13.89,5534.0,,supplements,4.8
"Now Foods, Melatonin, 3 mg, 60 Veg Capsules",5.54,15709.0,0.003,supplements,4.5
"Now Foods, Certified Organic Spirulina, 500 mg, 500 Tablets",25.19,17427.0,0.5,supplements,4.7
"Now Foods, Magnesium Caps, 400 mg, 180 Veg Capsules",17.6,5550.0,0.4,supplements,4.7
"Nature's Way, Alive! Men's Ultra Potency Complete Multivitamin, 60 Tablets",26.3,10913.0,,supplements,4.5
"Now Foods, Probiotic-10, 25 Billion, 50 Veg Capsules",22.22,6828.0,,supplements,4.6
"21st Century, Vitamin C, 500 mg, 250 Tablets",9.25,10262.0,0.5,supplements,4.7
"American Health, Ester-C with Citrus Bioflavonoids, 500 mg, 225 Vegetarian Tablets",31.34,8717.0,0.5,supplements,4.8
"Thorne Research, Vitamin D/K2, 1 fl oz (30 ml)",39.02,8885.0,,supplements,4.9
"Thorne Research, Basic Nutrients 2/Day, 60 Capsules",44.95,1177.0,,supplements,4.6
"21st Century, Vitamin C, 500 mg, 110 Tablets",5.2,10262.0,0.5,supplements,4.7
"Doctor's Best, Pure Collagen Types 1 and 3 Powder, 7.1 oz (200 g)",15.74,7466.0,200.0,supplements,4.5
"Now Foods, Magnesium Citrate, 240 Veg Capsules",29.64,15569.0,,supplements,4.8
"California Gold Nutrition, Zinc Picolinate, 50 mg, 120 Veggie Capsules",14.05,2125.0,0.05,supplements,4.8
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.22,14413.0,454.0,supplements,4.8
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 120 Veggie Caps",22.73,23636.0,,supplements,4.7
"Doctor's Best, Collagen Types 1 and 3 with Peptan and Vitamin C, 1,000 mg, 180 Tablets",21.85,6986.0,0.0,supplements,4.6
"Solgar, Sublingual Methylcobalamin (Vitamin B12), 1,000 mcg, 60 Nuggets",12.64,4855.0,,supplements,4.8
"Now Foods, Vitamin D-3, 25 mcg (1,000 IU), 360 Softgels",15.75,24797.0,,supplements,4.9
"Thompson, Zinc Picolinate, 25 mg, 60 Tablets",8.26,6190.0,0.025,supplements,4.8
"Thorne Research, NAC, 90 Capsules",39.02,778.0,,supplements,4.9
"21st Century, VitaJoy Melatonin Gummies, 5 mg, 120 Gummies",13.91,1398.0,0.005,supplements,4.6
"Now Foods, Ultra Omega 3-D, 180 Fish Softgels",46.33,8011.0,,supplements,4.8
"Life Extension, Taurine, 1,000 mg, 90 Vegetarian Capsules",15.22,2718.0,0.0,supplements,4.9
"Natrol, Melatonin, Advanced Sleep, Time Release, 10 mg, 60 Tablets",14.03,6995.0,0.01,supplements,4.4
"Solaray, L-Lysine Monolaurin 1:1 Ratio, 60 VegCaps",11.44,1594.0,,supplements,4.9
"Now Foods, Kid's Chewable DHA, Tasty Fruit, 60 Softgels",14.81,10505.0,,supplements,4.8
"Gerber, Lil Brainies, Omega Tri-Blend & DHA, Kids Multivitamin, Ages 2+, 60 Gummies",14.28,4915.0,,supplements,4.7
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.97,4711.0,454.0,supplements,4.6
"Doctor's Best, PepZin GI, Zinc-L-Carnosine Complex, 120 Veggie Caps",30.61,4127.0,,supplements,4.7
"Now Foods, Glutathione, 500 mg, 60 Veg Capsules",40.76,5128.0,0.5,supplements,4.5
"Bluebonnet Nutrition, Vitamin A, 3,000 mcg, 100 Softgels",9.93,5876.0,,supplements,4.9
"Now Foods, Super Enzymes, 90 Capsules",18.52,12717.0,,supplements,4.7
"Now Foods, Calcium & Magnesium with Vitamin D-3 and Zinc, 240 Softgels",25.93,8011.0,,supplements,4.7
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules",14.03,935.0,,supplements,4.9
"Now Foods, Selenium, 100 mcg, 100 Tablets",6.48,9145.0,,supplements,4.8
"Rejuvicare, Super Collagen, Collagen Hydrolysate, 500 mg, 90 Capsules",10.53,3031.0,0.5,supplements,4.6
"California Gold Nutrition, Baby's DHA, Omega-3s with Vitamin D3, 1050 mg, 2 fl oz (59 ml)",15.61,12321.0,1.05,supplements,4.8
"Solgar, Gentle Iron, 25 mg, 90 Vegetable Capsules",15.05,22087.0,0.025,supplements,4.8
"Now Foods, UC-II Joint Health, Undenatured Type II Collagen, 120 Veg Capsules",55.6,4047.0,,supplements,4.7
"Oslomega, Norwegian Kids Omega-3 Fish Oil, Natural Lemon Flavor, 6.7 fl oz (200 ml)",24.97,5886.0,,supplements,4.8
"21st Century, Fish Oil, 1,000 mg, 300 Softgels",19.7,8177.0,0.0,supplements,4.7
"21st Century, Magnesium, 250 mg, 110 Tablets",3.46,14621.0,0.25,supplements,4.6
"21st Century, Quick Dissolve Melatonin, Cherry Flavor, 10 mg, 120 Tablets",11.6,3414.0,0.01,supplements,4.6
"Now Foods, Molecularly Distilled Omega-3, 500 Softgels",34.29,45515.0,,supplements,4.7
"Sundown Naturals, Calcium, Magnesium & Zinc, 100 Caplets",6.71,6331.0,,supplements,4.7
"Now Foods, L-Lysine, 1,000 mg, 100 Tablets",12.04,8222.0,0.0,supplements,4.8
"Aurora Nutrascience, Mega-Liposomal Glutathione+, Plus Vitamin C, Organic Fruit Flavor, 750 mg, 16 fl oz (480 ml)",78.02,2077.0,0.75,supplements,4.7
"21st Century, Zoo Friends with Extra C, Orange, 60 Chewable Tablets",5.81,3148.0,,supplements,4.7
"21st Century, One Daily, Women's, 100 Tablets",6.96,7030.0,,supplements,4.5
"Thorne Research, Zinc Picolinate, 15 mg, 60 Capsules",17.17,6090.0,0.015,supplements,4.9
"Doctor's Best, Vitamin D3, 50 mcg (2,000 IU), 180 Softgels",9.63,5539.0,,supplements,4.9
"Natural Factors, WomenSense, RxOmega-3, 120 Enteripure Softgels",17.53,8525.0,,supplements,4.8
"Nature's Way, Echinacea, 99.9% Alcohol Free, 1 fl oz (30 ml)",10.11,4039.0,,supplements,4.8
"21st Century, Mega Multi, For Women, 90 Tablets",13.91,5482.0,,supplements,4.5
"Now Foods, Potassium Citrate, 99 mg, 180 Veg Capsules",11.1,3705.0,0.099,supplements,4.7
"Nature's Bounty, Optimal Solutions, Extra Strength Hair, Skin & Nails, 150 Rapid Release Liquid Softgels",25.39,8455.0,,supplements,4.4
"21st Century, Selenium, 200 mcg, 60 Capsules",5.81,3769.0,,supplements,4.7
"Solaray, Magnesium Citrate, 133 mg, 180 VegCaps",17.62,6079.0,0.133,supplements,4.7
"Now Foods, MK-7 Vitamin K-2, 100 mcg, 60 Veg Capsules",18.52,6606.0,,supplements,4.9
"Doctor's Best, Alpha-Lipoic Acid, 600 mg, 60 Veggie Caps",19.24,6796.0,0.6,supplements,4.7
"Now Foods, D-Mannose, 500 mg, 120 Veg Capsules",23.71,4325.0,0.5,supplements,4.8
"Now Foods, Omega-3, Molecularly Distilled, 180 Softgels",22.22,3180.0,,supplements,4.8
"Solgar, Ester-C Plus, Vitamin C,  500 mg, 100 Vegetable Capsules",19.87,9561.0,0.5,supplements,4.9
"Nature's Plus, Hema-Plex, Mixed Berry, 60 Chewables",12.25,2927.0,,supplements,4.8
"Superior Source, Extra Strength Vitamin D3, 125 mcg (5,000 IU), 100 MicroLingual Instant Dissolve Tablets",16.58,3524.0,,supplements,4.9
"Now Foods, Maca, 500 mg, 100 Veg Capsules",12.04,10904.0,0.5,supplements,4.5
"Jarrow Formulas, Women's Fem Dophilus, 60 Veggie Caps",45.84,4357.0,,supplements,4.5
"Solgar, Selenium, Yeast-Free, 100 mcg, 100 Tablets",10.59,7080.0,,supplements,4.9
"NutriBiotic, Vegan GSE Grapefruit Seed Extract, Liquid Concentrate, 4 fl oz (118 ml)",30.42,22728.0,,supplements,4.9
"Fairhaven Health, Myo-Inositol, For Women and Men, 120 Capsules",37.92,5881.0,,supplements,4.7
"Life Extension, Vitamin D3, 125 mcg (5,000 IU), 60 Softgels",11.7,3528.0,,supplements,4.9
"Solgar, Gentle Iron, 25 mg, 180 Vegetable Capsules",25.9,22087.0,0.025,supplements,4.8
"Sambucol, Black Elderberry Syrup, For Kids, Berry Flavor, 7.8 fl oz (230 ml)",29.68,9836.0,,supplements,4.8
"21st Century, Biotin, 5,000 mcg, 110 Capsules",8.08,3892.0,,supplements,4.7
"California Gold Nutrition, Total Veggie Joint, Vegetarian Glucosamin, Chondroitin, MSM & Hyaluronic Acid, 90 Veggie Capsules",24.97,2031.0,,supplements,4.7
"Nature's Plus, Hema-Plex, 60 Fast-Acting Softgels",12.25,9107.0,,supplements,4.9
"Now Foods, Omega 3-6-9, 1,000 mg, 250 Softgels",27.79,4779.0,0.0,supplements,4.7
"Xlear, Xylitol Saline Nasal Spray, Fast Relief, 1.5 fl oz (45 ml)",15.59,3461.0,,supplements,4.6
"Natural Factors, CurcuminRich, Theracurmin, 60 Vegetarian Capsules",23.37,3522.0,,supplements,4.8
"Solaray, Kids Vitamins & Minerals, Chewable, Natural Black Cherry, 120 Chewables",12.47,10546.0,,supplements,4.7
"Nature's Bounty, Ester-C, 1,000 mg, 120 Vegetarian Coated Tablets",26.88,6326.0,0.0,supplements,4.8
"Natrol, Kids, Melatonin, Ages 4 & Up, Berry, 90 Gummies",15.87,552.0,,supplements,4.7
"Michael's Naturopathic, Vitamin D3 with Vitamin K2, Apricot, 5,000 IU, 90 Vegetarian Chewable Tablets",26.91,4213.0,,supplements,4.9
"Now Foods, Astaxanthin, 4 mg, 60 Veggie Softgels",14.81,3574.0,0.004,supplements,4.6
"21st Century, Melatonin, 5 mg, 120 Tablets",9.25,3355.0,0.005,supplements,4.6
"Thorne Research, Basic B Complex, 60 Capsules",35.89,5871.0,,supplements,4.7
"21st Century, Potassium Gluconate, 595 mg, 110 Tablets",3.46,3634.0,0.595,supplements,4.5
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 30 Softgels",15.22,23531.0,0.25,supplements,4.7
"Thorne Research, Magnesium CitraMate, 90 Capsules",23.41,3255.0,,supplements,4.8
"Neocell, Super Collagen Peptides, Unflavored, 7 oz (200 g)",23.19,7337.0,200.0,supplements,4.4
